id_x,created,asset_id,distance,origin_latitude,origin_longitude,origin_time_stamp,origin_address,destination_latitude,destination_longitude,destination_time_stamp,destination_address,created_day,created_week,created_month,created_year,created_dayofweek,duration_seconds,average_speed,id_y,make,model,year,make_category
14Gv8qI,2023-03-06 11:30:12.193000+00:00,0gMAW5w,17069.770000000004,-1.4304070472717285,36.68785095214844,2023-03-06 11:30:07+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.344310998916626,36.766300201416016,2023-03-06 12:30:41+00:00,"Magadi Road, Langata, Nairobi, Nairobi County, Kenya",Monday,10,3,2023,Weekday,3634.0,16.910063841496978,0gMAW5w,TOYOTA,Hiace,2003.0,medium
pfzkbUL,2023-03-06 06:12:17.497000+00:00,0gMAW5w,65596.78000000003,-1.3953620195388794,36.76352310180664,2023-03-06 06:12:12+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.4305139780044556,36.68790817260742,2023-03-06 09:47:52+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Monday,10,3,2023,Weekday,12940.0,18.249490571870176,0gMAW5w,TOYOTA,Hiace,2003.0,medium
GQQz8xB,2023-03-06 05:27:16.579000+00:00,0gMAW5w,14574.799999999996,-1.3055119514465332,36.82532501220703,2023-03-06 05:27:12+00:00,"Nyayo Stadium, Nairobi, Kenya",-1.395354986190796,36.7635612487793,2023-03-06 06:01:16+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Monday,10,3,2023,Weekday,2044.0000000000002,25.669902152641868,0gMAW5w,TOYOTA,Hiace,2003.0,medium
YqQMGzk,2023-03-06 01:34:53.094000+00:00,0gMAW5w,77295.98999999999,-1.3973020315170288,36.75779342651367,2023-03-06 01:34:50+00:00,"Nafrom, Nairobi, Kenya",-1.3055980205535889,36.825138092041016,2023-03-06 05:06:20+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",Monday,10,3,2023,Weekday,12690.0,21.92794042553191,0gMAW5w,TOYOTA,Hiace,2003.0,medium
d7FP185,2023-03-05 17:10:39.648000+00:00,0gMAW5w,283.68,-1.3974709510803223,36.759796142578125,2023-03-05 17:10:35+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3971589803695679,36.7578125,2023-03-05 17:13:04+00:00,"2, Ongata Rongai, Kenya",Sunday,9,3,2023,Weekend,149.0,6.854013422818792,0gMAW5w,TOYOTA,Hiace,2003.0,medium
HZhQYUf,2023-03-05 13:40:35.881000+00:00,0gMAW5w,1896.3100000000002,-1.396054983139038,36.75693130493164,2023-03-05 13:40:32+00:00,"Ongata Rongai, Kajiado North, Kajiado North, Kajiado, Nairobi, Kenya",-1.3973599672317505,36.7598762512207,2023-03-05 14:00:23+00:00,"Soronik Road, Langata, Ongata Rongai, Kajiado County, Kenya",Sunday,9,3,2023,Weekend,1191.0,5.7319193954659955,0gMAW5w,TOYOTA,Hiace,2003.0,medium
1ejH4Qy,2023-03-05 10:20:43.183000+00:00,0gMAW5w,1205.66,-1.3973510265350342,36.759735107421875,2023-03-05 10:20:40+00:00,"Langata, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3960570096969604,36.75690841674805,2023-03-05 10:31:05+00:00,"Ongata Rongai, Kajiado North, Kajiado North, Kajiado, Nairobi, Kenya",Sunday,9,3,2023,Weekend,625.0,6.9446016,0gMAW5w,TOYOTA,Hiace,2003.0,medium
q87ot0h,2023-03-04 15:55:30.078000+00:00,0gMAW5w,19007.02999999998,-1.288079023361206,36.827125549316406,2023-03-04 15:55:27+00:00,"08 Moi Ave, Nairobi, Kenya",-1.3973920345306396,36.75983428955078,2023-03-04 17:04:27+00:00,"Langata, Langata, Ongata Rongai, Kajiado County, Kenya",Saturday,9,3,2023,Weekend,4140.0,16.527852173913026,0gMAW5w,TOYOTA,Hiace,2003.0,medium
dpuNbcr,2023-03-04 14:02:18.297000+00:00,0gMAW5w,28009.909999999963,-1.4302070140838623,36.68783187866211,2023-03-04 14:02:16+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.2877860069274902,36.826995849609375,2023-03-04 15:43:02+00:00,"Stall G 07, Ground Floor, Agrho House, Gedi Street Off, Tom Mboya St, Nairobi, Kenya",Saturday,9,3,2023,Weekend,6046.0,16.678080714521975,0gMAW5w,TOYOTA,Hiace,2003.0,medium
E2iXhA0,2023-03-04 11:21:17.878000+00:00,0gMAW5w,27551.479999999996,-1.287132978439331,36.8267707824707,2023-03-04 11:21:12+00:00,"Farmer's Building, Tom Mboya St, Nairobi, Kenya",-1.4304850101470947,36.68791961669922,2023-03-04 13:07:27+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Saturday,9,3,2023,Weekend,6375.0,15.55848282352941,0gMAW5w,TOYOTA,Hiace,2003.0,medium
9UwxUHJ,2023-03-04 10:20:23.155000+00:00,0gMAW5w,17616.74999999998,-1.3943350315093994,36.76429748535156,2023-03-04 10:20:19+00:00,"Uchumi/Maasai Mall/Ongata Rongai, Nairobi, Kenya",-1.287081003189087,36.82664108276367,2023-03-04 11:05:30+00:00,"5 Tom Mboya Street, City Square, Nairobi, Nairobi County, Kenya",Saturday,9,3,2023,Weekend,2711.0,23.393692364441144,0gMAW5w,TOYOTA,Hiace,2003.0,medium
e6Itlhm,2023-03-04 09:05:46.394000+00:00,0gMAW5w,19105.90000000001,-1.3967640399932861,36.74919128417969,2023-03-04 09:05:43+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3944469690322876,36.764190673828125,2023-03-04 10:08:16+00:00,"Maasai Mall, Nairobi, Kenya",Saturday,9,3,2023,Weekend,3753.0000000000005,18.327002398081543,0gMAW5w,TOYOTA,Hiace,2003.0,medium
03ShRgQ,2023-03-04 05:38:15.163000+00:00,0gMAW5w,50202.11999999991,-1.4300789833068848,36.68815231323242,2023-03-04 05:38:11+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.3967629671096802,36.7495231628418,2023-03-04 08:54:18+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Saturday,9,3,2023,Weekend,11767.0,15.358853743519985,0gMAW5w,TOYOTA,Hiace,2003.0,medium
Y4T8Uiw,2023-03-04 04:03:53.553000+00:00,0gMAW5w,27333.760000000013,-1.2890150547027588,36.82817077636719,2023-03-04 04:03:50+00:00,"Haile Selassie Avenue, Muthurwa-south east commercial park, Nairobi, Nairobi County, Kenya",-1.430156946182251,36.68803787231445,2023-03-04 05:05:24+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Saturday,9,3,2023,Weekend,3694.0000000000005,26.638206821873318,0gMAW5w,TOYOTA,Hiace,2003.0,medium
fynYfhE,2023-03-04 01:25:27.777000+00:00,0gMAW5w,67807.15999999997,-1.3972519636154175,36.7596549987793,2023-03-04 01:25:25+00:00,"Tyme Arcade/Ongata Mall, Nairobi, Kenya",-1.2889610528945923,36.82823181152344,2023-03-04 03:49:23+00:00,"Haile Selassie Avenue, Muthurwa-south east commercial park, Nairobi, Nairobi County, Kenya",Saturday,9,3,2023,Weekend,8638.0,28.259524890020828,0gMAW5w,TOYOTA,Hiace,2003.0,medium
h3624Ew,2023-03-03 16:55:07.080000+00:00,0gMAW5w,10889.509999999991,-1.4299910068511963,36.688167572021484,2023-03-03 16:55:04+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.3971699476242065,36.75966262817383,2023-03-03 17:29:50+00:00,"Tyme Arcade/Ongata Mall, Nairobi, Kenya",Friday,9,3,2023,Weekday,2086.0,18.793018216682633,0gMAW5w,TOYOTA,Hiace,2003.0,medium
I3rotgg,2023-03-03 14:58:27.120000+00:00,0gMAW5w,23503.929999999993,-1.3112159967422485,36.81714630126953,2023-03-03 14:58:24+00:00,"Langata Road, Nairobi West, Nairobi, Nairobi County, Kenya",-1.4298239946365356,36.68840408325195,2023-03-03 16:36:12+00:00,"C58, Kiserian, Kenya",Friday,9,3,2023,Weekday,5868.0,14.419588957055211,0gMAW5w,TOYOTA,Hiace,2003.0,medium
VMVRBdA,2023-03-03 12:11:04.557000+00:00,0gMAW5w,27829.769999999968,-1.3959870338439941,36.741119384765625,2023-03-03 12:11:02+00:00,"237 C58, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3109060525894165,36.81739044189453,2023-03-03 14:14:57+00:00,"Langata Road, Nairobi West, Nairobi, Nairobi County, Kenya",Friday,9,3,2023,Weekday,7435.000000000001,13.4750735709482,0gMAW5w,TOYOTA,Hiace,2003.0,medium
NhY9tuS,2023-03-03 11:26:50.661000+00:00,0gMAW5w,1867.2099999999998,-1.3973419666290283,36.757503509521484,2023-03-03 11:26:47+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3959629535675049,36.74128723144531,2023-03-03 11:33:44+00:00,"Opposite St Stephen Georges & Christopher Church, Magadi Rd, Nairobi, Kenya",Friday,9,3,2023,Weekday,417.0,16.11979856115108,0gMAW5w,TOYOTA,Hiace,2003.0,medium
pK5zmd8,2023-03-03 10:28:49.862000+00:00,0gMAW5w,6190.539999999996,-1.3520489931106567,36.76253128051758,2023-03-03 10:28:41+00:00,"CUEA/Bogani Road, Nairobi, Kenya",-1.3973829746246338,36.75784683227539,2023-03-03 10:48:03+00:00,"Nafrom, Nairobi, Kenya",Friday,9,3,2023,Weekday,1162.0,19.1789535283993,0gMAW5w,TOYOTA,Hiace,2003.0,medium
OiX00l4,2023-03-03 08:13:28.074000+00:00,0gMAW5w,32965.49999999999,-1.3958690166473389,36.729209899902344,2023-03-03 08:13:25+00:00,"Magacia, Nairobi, Kenya",-1.3520920276641846,36.76244354248047,2023-03-03 10:17:02+00:00,"CUEA/Bogani Road, Nairobi, Kenya",Friday,9,3,2023,Weekday,7417.000000000001,16.000512336524196,0gMAW5w,TOYOTA,Hiace,2003.0,medium
DwnOUGM,2023-03-03 06:51:18.431000+00:00,0gMAW5w,18501.369999999966,-1.3055399656295776,36.825279235839844,2023-03-03 06:51:16+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",-1.3959369659423828,36.72927474975586,2023-03-03 07:30:59+00:00,"Magacia, Nairobi, Kenya",Friday,9,3,2023,Weekday,2383.0,27.950034410407,0gMAW5w,TOYOTA,Hiace,2003.0,medium
I3ZbYva,2023-03-03 03:09:46.045000+00:00,0gMAW5w,39028.88000000001,-1.3889009952545166,36.768943786621094,2023-03-03 03:09:39+00:00,"Magadi Road, Langata, Nairobi, Kajiado County, Kenya",-1.2891039848327637,36.827335357666016,2023-03-03 05:21:09+00:00,"Moi Avenue, City Square, Nairobi, Nairobi County, Kenya",Friday,9,3,2023,Weekday,7890.000000000001,17.807853992395444,0gMAW5w,TOYOTA,Hiace,2003.0,medium
1es8qrz,2023-03-03 02:00:47.051000+00:00,0gMAW5w,23218.239999999998,-1.397202968597412,36.759735107421875,2023-03-03 02:00:45+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3072530031204224,36.819740295410156,2023-03-03 02:51:23+00:00,"Ole Sangale Road, Nairobi West, Nairobi, Nairobi County, Kenya",Friday,9,3,2023,Weekday,3038.0,27.51338512179065,0gMAW5w,TOYOTA,Hiace,2003.0,medium
P0qNzSL,2023-03-02 23:26:30.176000+00:00,0gMAW5w,219.92,-1.3971970081329346,36.757999420166016,2023-03-02 23:26:25+00:00,"Naston, Nairobi, Kenya",-1.3973280191421509,36.759803771972656,2023-03-02 23:27:24+00:00,"Soronik Road, Langata, Ongata Rongai, Kajiado County, Kenya",Thursday,9,3,2023,Weekday,59.00000000000001,13.418847457627116,0gMAW5w,TOYOTA,Hiace,2003.0,medium
YImjugc,2023-03-02 13:49:19.238000+00:00,0gMAW5w,54136.51000000009,-1.3110460042953491,36.81736755371094,2023-03-02 13:49:15+00:00,"Shell/T-Mall, Nairobi, Kenya",-1.3973040580749512,36.7578125,2023-03-02 17:08:13+00:00,"Nafrom, Nairobi, Kenya",Thursday,9,3,2023,Weekday,11938.0,16.3253003853242,0gMAW5w,TOYOTA,Hiace,2003.0,medium
3Zv9FF1,2023-03-02 11:03:23.651000+00:00,0gMAW5w,32300.489999999958,-1.4302220344543457,36.688011169433594,2023-03-02 11:03:19+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.3109769821166992,36.81736755371094,2023-03-02 12:58:31+00:00,"Langata Road, Nairobi West, Nairobi, Nairobi County, Kenya",Thursday,9,3,2023,Weekday,6912.0,16.82317187499998,0gMAW5w,TOYOTA,Hiace,2003.0,medium
5AcTYpz,2023-03-02 08:59:08.070000+00:00,0gMAW5w,22825.289999999997,-1.3163930177688599,36.81371307373047,2023-03-02 08:59:05+00:00,"60 Wilson Flyover, Nairobi West, Nairobi, Nairobi County, Kenya",-1.4302150011062622,36.68796920776367,2023-03-02 10:10:34+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Thursday,9,3,2023,Weekday,4289.0,19.1585553742131,0gMAW5w,TOYOTA,Hiace,2003.0,medium
QHTE9Yw,2023-03-02 08:32:52.267000+00:00,0gMAW5w,1878.06,-1.305677056312561,36.82501983642578,2023-03-02 08:32:45+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",-1.3164420127868652,36.813724517822266,2023-03-02 08:40:12+00:00,"60 Wilson Flyover, Nairobi West, Nairobi, Nairobi County, Kenya",Thursday,9,3,2023,Weekday,447.0,15.125315436241612,0gMAW5w,TOYOTA,Hiace,2003.0,medium
o4hrcdX,2023-03-02 05:41:57.464000+00:00,0gMAW5w,54934.76999999996,-1.3055299520492554,36.82526397705078,2023-03-02 05:41:55+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",-1.305670976638794,36.825096130371094,2023-03-02 08:21:01+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",Thursday,9,3,2023,Weekday,9546.0,20.717072281583896,0gMAW5w,TOYOTA,Hiace,2003.0,medium
PKhYpF8,2023-03-02 01:54:04.464000+00:00,0gMAW5w,72817.86999999976,-1.39792001247406,36.75996017456055,2023-03-02 01:54:02+00:00,"Langata, Langata, Nairobi, Nairobi County, Kenya",-1.3056139945983887,36.825191497802734,2023-03-02 05:28:31+00:00,"Nyayo Stadium, Nairobi, Kenya",Thursday,9,3,2023,Weekday,12869.0,20.370217732535487,0gMAW5w,TOYOTA,Hiace,2003.0,medium
Q8qr1HJ,2023-03-01 17:16:44.296000+00:00,0gMAW5w,20787.73000000002,-1.2877229452133179,36.827125549316406,2023-03-01 17:16:40+00:00,"Shop 406, 4th Floor, Cargen House, Harambee Ave, Nairobi, Kenya",-1.3971730470657349,36.75974655151367,2023-03-01 18:02:50+00:00,"Soronik Road, Nairobi, Kenya",Wednesday,9,3,2023,Weekday,2770.0,27.01654440433216,0gMAW5w,TOYOTA,Hiace,2003.0,medium
7p9tLf3,2023-03-01 13:19:19.476000+00:00,0gMAW5w,65941.21999999991,-1.429988980293274,36.68806838989258,2023-03-01 13:19:16+00:00,"Mutall Business Centre, Kiserian, Kenya",-1.287703037261963,36.827125549316406,2023-03-01 16:53:50+00:00,"Shop 406, 4th Floor, Cargen House, Harambee Ave, Nairobi, Kenya",Wednesday,9,3,2023,Weekday,12874.0,18.439365542954768,0gMAW5w,TOYOTA,Hiace,2003.0,medium
inHSggV,2023-03-01 10:33:39.551000+00:00,0gMAW5w,24895.15999999997,-1.3055720329284668,36.82478332519531,2023-03-01 10:33:35+00:00,"Nyayo Stadium, Nairobi, Kenya",-1.4299030303955078,36.68825149536133,2023-03-01 11:42:06+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Wednesday,9,3,2023,Weekday,4111.0,21.800675261493527,0gMAW5w,TOYOTA,Hiace,2003.0,medium
r0Pf4mx,2023-03-01 09:58:38.267000+00:00,0gMAW5w,1722.4099999999987,-1.2932950258255005,36.8214111328125,2023-03-01 09:58:30+00:00,"Shell Haile Selassie Junction, Nairobi, Kenya",-1.3055460453033447,36.824832916259766,2023-03-01 10:09:55+00:00,"Nyayo Stadium, Nairobi, Kenya",Wednesday,9,3,2023,Weekday,685.0,9.052081751824812,0gMAW5w,TOYOTA,Hiace,2003.0,medium
skceu7v,2023-03-01 07:30:48.298000+00:00,0gMAW5w,43896.09000000008,-1.287909984588623,36.82713317871094,2023-03-01 07:30:46+00:00,"Aghro House, 08 Moi Ave, Nairobi, Kenya",-1.293194055557251,36.821434020996094,2023-03-01 09:47:48+00:00,"Nairobi Expressway, City Square, Nairobi, Nairobi County, Kenya",Wednesday,9,3,2023,Weekday,8222.0,19.21988859158359,0gMAW5w,TOYOTA,Hiace,2003.0,medium
brjmhGy,2023-03-01 03:33:54.794000+00:00,0gMAW5w,25266.489999999972,-1.3972059488296509,36.75993347167969,2023-03-01 03:33:53+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.2880419492721558,36.82701110839844,2023-03-01 05:36:08+00:00,"08 Moi Avenue, City Square, Nairobi, Nairobi County, Kenya",Wednesday,9,3,2023,Weekday,7335.000000000001,12.400731288343543,0gMAW5w,TOYOTA,Hiace,2003.0,medium
D49uYrc,2023-02-28 20:56:33.721000+00:00,0gMAW5w,267.81,-1.3972749710083008,36.7575798034668,2023-02-28 20:56:29+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3972580432891846,36.75971984863281,2023-02-28 20:57:29+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Tuesday,9,2,2023,Weekday,60.00000000000001,16.0686,0gMAW5w,TOYOTA,Hiace,2003.0,medium
oWVrcyU,2023-02-28 19:27:11.899000+00:00,0gMAW5w,244.01999999999998,-1.397236943244934,36.759765625,2023-02-28 19:27:09+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3971400260925293,36.75772476196289,2023-02-28 19:28:38+00:00,"2, Ongata Rongai, Kenya",Tuesday,9,2,2023,Weekday,89.0,9.870471910112359,0gMAW5w,TOYOTA,Hiace,2003.0,medium
zouKkl6,2023-02-28 18:54:04.384000+00:00,0gMAW5w,2783.5699999999997,-1.390462040901184,36.7669563293457,2023-02-28 18:53:57+00:00,"Maasai Lodge, Nairobi, Kenya",-1.3972009420394897,36.759742736816406,2023-02-28 19:02:35+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Tuesday,9,2,2023,Weekday,518.0,19.345274131274127,0gMAW5w,TOYOTA,Hiace,2003.0,medium
OUH5bny,2023-02-28 18:31:45.387000+00:00,0gMAW5w,2088.45,-1.2878780364990234,36.827083587646484,2023-02-28 18:31:41+00:00,"Aghro House, 08 Moi Ave, Nairobi, Kenya",-1.3007769584655762,36.82462692260742,2023-02-28 18:35:10+00:00,"Uhuru Highway Past Bunyala Roundabout (Outbound Next to Nissan Kenya, Nairobi, Kenya",Tuesday,9,2,2023,Weekday,209.0,35.9733014354067,0gMAW5w,TOYOTA,Hiace,2003.0,medium
5pPtYLY,2023-02-28 15:13:47.715000+00:00,0gMAW5w,54635.989999999976,-1.394476056098938,36.76421356201172,2023-02-28 15:13:43+00:00,"Maasai Mall, Nairobi, Kenya",-1.2879849672317505,36.82715606689453,2023-02-28 17:55:16+00:00,"Embakasi South, Nairobi, Kenya",Tuesday,9,2,2023,Weekday,9693.0,20.291918291550594,0gMAW5w,TOYOTA,Hiace,2003.0,medium
HhGq54N,2023-02-28 13:50:59.589000+00:00,0gMAW5w,18355.890000000003,-1.300997018814087,36.812381744384766,2023-02-28 13:50:53+00:00,"Hospital Road, Kenyatta Hospital, Nairobi, Nairobi County, Kenya",-1.3944859504699707,36.76417922973633,2023-02-28 15:02:21+00:00,"Maasai Mall, Nairobi, Kenya",Tuesday,9,2,2023,Weekday,4288.0,15.410728544776122,0gMAW5w,TOYOTA,Hiace,2003.0,medium
RrTYtMS,2023-02-28 13:37:08.239000+00:00,0gMAW5w,252.80999999999995,-1.3013570308685303,36.813838958740234,2023-02-28 13:37:06+00:00,"Kenya rd, off Hospital Rd, Nairobi, Kenya",-1.3007409572601318,36.81279373168945,2023-02-28 13:39:35+00:00,"Hospital Road, Kenyatta Hospital, Nairobi, Nairobi County, Kenya",Tuesday,9,2,2023,Weekday,149.0,6.108161073825502,0gMAW5w,TOYOTA,Hiace,2003.0,medium
vn4KYVw,2023-02-28 09:46:31.924000+00:00,0gMAW5w,25033.880000000012,-1.3954880237579346,36.734336853027344,2023-02-28 09:46:30+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3011809587478638,36.81398010253906,2023-02-28 11:41:02+00:00,"8 Longonot Road, Kenyatta Hospital, Nairobi, Nairobi County, Kenya",Tuesday,9,2,2023,Weekday,6872.0,13.114372526193254,0gMAW5w,TOYOTA,Hiace,2003.0,medium
iel9jIQ,2023-02-28 08:13:12.868000+00:00,0gMAW5w,20854.03999999999,-1.288074016571045,36.82697296142578,2023-02-28 08:13:08+00:00,"08 Moi Avenue, City Square, Nairobi, Nairobi County, Kenya",-1.395576000213623,36.73451614379883,2023-02-28 09:24:42+00:00,"Kwa Kimani/Laiser Hill, Nairobi, Kenya",Tuesday,9,2,2023,Weekday,4294.0,17.483591988821605,0gMAW5w,TOYOTA,Hiace,2003.0,medium
wUsgDae,2023-02-28 04:45:32.060000+00:00,0gMAW5w,25622.380000000005,-1.3446229696273804,36.76619338989258,2023-02-28 04:45:28+00:00,"Bomas/Galleria, Nairobi, Kenya",-1.2881200313568115,36.826881408691406,2023-02-28 06:02:25+00:00,"08 Moi Avenue, City Square, Nairobi, Nairobi County, Kenya",Tuesday,9,2,2023,Weekday,4617.0,19.978463937621836,0gMAW5w,TOYOTA,Hiace,2003.0,medium
G7l7hda,2023-02-28 02:30:51.736000+00:00,0gMAW5w,35759.18999999996,-1.3972829580307007,36.75979995727539,2023-02-28 02:30:48+00:00,"Soronik Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3444470167160034,36.76628494262695,2023-02-28 04:34:01+00:00,"Bomas/Galleria, Nairobi, Kenya",Tuesday,9,2,2023,Weekday,7393.000000000001,17.412834302718764,0gMAW5w,TOYOTA,Hiace,2003.0,medium
MtIiGAo,2023-02-27 22:55:13.131000+00:00,0gMAW5w,233.48,-1.397264003753662,36.757747650146484,2023-02-27 22:55:10+00:00,"Nafrom, Nairobi, Kenya",-1.3974299430847168,36.759803771972656,2023-02-27 22:56:09+00:00,"Langata, Langata, Ongata Rongai, Kajiado County, Kenya",Monday,9,2,2023,Weekday,59.00000000000001,14.246237288135593,0gMAW5w,TOYOTA,Hiace,2003.0,medium
PtX4hXf,2023-02-27 19:08:23.368000+00:00,0gMAW5w,240.03999999999996,-1.3972729444503784,36.75972366333008,2023-02-27 19:08:16+00:00,"Tyme Arcade/Ongata Mall, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3971730470657349,36.75783157348633,2023-02-27 19:10:15+00:00,"2, Ongata Rongai, Kenya",Monday,9,2,2023,Weekday,119.00000000000001,7.261714285714284,0gMAW5w,TOYOTA,Hiace,2003.0,medium
